"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","TB001...Quantidade.de.coletadores.e.motoristas.de.agentes.públicos..alocados.no.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO029...Empregados.","TB002...Quantidade.de.coletadores.e.motoristas.de.agentes.privados..alocados.no.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO030...Empregados.","TB003...Quantidade.de.varredores.dos.agentes.públicos..alocados.no.serviço.de.varrição..Antigo.campo.VA007...Empregados.","TB004...Quantidade.de.varredores.de.agentes.privados..alocados.no.serviço.de.varrição..Antigo.campo.VA008...Empregados.","TB005...Quantidade.de.empregados.dos.agentes.públicos.envolvidos.com.os.serviços.de.capina.e.roçada..Antigo.campo.CP005...Empregados.","TB006...Quantidade.de.empregados.dos.agentes.privados.envolvidos.com.os.serviços.de.capina.e.roçada..Antigo.campo.CP006...Empregados.","TB007...Quantidade.de.trabalhadores.dos.agentes.públicos.alocados.em.serviços.das.unidades.de.processamento..Antigo.campo.UP062...Empregados.","TB008...Quantidade.de.empregados.dos.agentes.privados..Antigo.campo.UP063...Empregados.","TB009...Quantidade.de.empregados.dos.agentes.públicos.envolvidos.nos.demais.serviços.de.manejo.de.RSU.quando.não.especificados.em.campos.próprios..Antigo.campo.GE047...Empregados.","TB010...Quantidade.de.empregados.dos.agentes.privados.envolvidos.nos.demais.serviços.de.manejo.de.RSU.quando.não.especificados.em.campos.próprios..Antigo.campo.GE048...Empregados.","TB011...Quantidade.de.empregados.administrativos.dos.agentes.públicos..Antigo.campo.GE050...Empregados.","TB012...Quantidade.de.empregados.administrativos.dos.agentes.privados..Antigo.campo.GE051...Empregados.","TB013...Quantidade.de.trabalhadores.de.agentes.públicos.envolvidos.nos.serviços.de.manejo.de.RSU..Antigo.campo.GE015...Empregados.","TB014...Quantidade.de.trabalhadores.de.agentes.privados.envolvidos.nos.serviços.de.manejo.de.RSU..Antigo.campo.GE016...Empregados.","TB015...Quantidade.total.de.trabalhadores.remunerados.envolvidos.nos.serviços.de.manejo.de.RSU..Antigo.campo.GE058...Empregados.","TB016...Existência.de.frente.de.trabalho.temporária..Antigo.campo.GE053...Sim.Não.","TB017...Quantidade.de.empregados.temporários.da.frente..1...Antigo.campo.GE030...Empregados.temporários.","TB018...Quantidade.de.empregados.temporários.da.frente..2...Antigo.campo.GE034...Empregados.temporários.","TB019...Quantidade.de.empregados.temporários.da.frente.de.trabalho..3...Antigo.campo.GE038...Empregados.temporários.","TB020...Duração.da.frente.de.trabalho..1...Antigo.campo.GE031...Meses.","TB021...Duração.da.frente.de.trabalho..2...Antigo.campo.GE035...Meses.","TB022...Duração.da.frente.de.trabalho..3...Antigo.campo.GE040...Meses.","TB023...Atuação.da.frente.de.trabalho..1..em.mais.de.um.tipo.de.serviço..Antigo.campo.GE032...Sim.Não.","TB024...Atuação.da.frente.de.trabalho..2..em.mais.de.um.tipo.de.serviço..Antigo.campo.GE036...Sim.Não.","TB025...Atuação.da.frente.de.trabalho..3..em.mais.de.um.tipo.de.serviço..Antigo.campo.GE041...Sim.Não.","TB026...Tipo.de.serviço.predominante.da.frente.de.trabalho..1...Antigo.campo.GE033.","TB027...Tipo.de.serviço.predominante.da.frente.de.trabalho..2...Antigo.campo.GE037.","TB028...Tipo.de.serviço.predominante.da.frente.de.trabalho..3...Antigo.campo.GE042.","TB029...Quantidade.de.coletadores.e.motoristas.de.outros.agentes..alocados.no.serviço.de.coleta.de.RDO.e.RPU..Antigo.campo.CO031...Empregados.","TB030...Quantidade.de.varredores.de.outros.agentes..alocados.no.serviço.de.varrição..Antigo.campo.VA009...Empregados.","TB031...Quantidade.de.empregados.dos.outros.agentes.envolvidos.com.os.serviços.de.capina.e.roçada..Antigo.campo.CP008...Empregados.","TB032...Quantidade.de.empregados.de.outros.agentes..Antigo.campo.UP064...Empregados.","TB033...Quantidade.de.empregados.de.outros.agentes.envolvidos.nos.demais.serviços.de.manejo.de.RSU.quando.não.especificados.em.campos.próprios..Antigo.campo.GE049...Empregados.","TB034...Quantidade.de.empregados.administrativos.de.outros.agentes..Antigo.campo.GE052...Empregados.","TB035...Quantidade.total.de.empregados.de.outros.agentes.envolvidos.nos.serviços.de.manejo.de.RSU..Antigo.campo.GE017...Empregados."
"220025","Alagoinha do Piauí","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","16","0","8","0","4","0","2","0","2","0","2","0","34","0","34","Não",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","0","1","0","2","0","2","0","2","0","1","0","1","0","9","9","Não",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","1998","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","0","6","0","0","0","0","0","0","0","0","0","0","0","6","6","Não",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","2","0","2","0","2","0","0","0","0","0","0","0","6","0","6","Não",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220025","Alagoinha do Piauí","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22002540] PREFEITURA MUNICIPAL DE ALAGOINHA DO PIAUI - PMAPI","Água; Res Sólidos","5",,"5",,"5",,"0",,"0",,"0",,"15","1","16","Não",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","1995","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2010","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","1998","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","1997","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2002","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2003","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2000","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2013","[22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Res Sólidos","4","0","10","0","0","0","0","0","0","0","1","0","15","0","15","Sim","10",,,"9",,,"Não","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2008","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2001","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","1996","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","1999","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2006","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2007","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2012","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2014","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","0","6","0","10","0","0","0","1","0","0","0","1","0","18","18","Sim","4","4","0","1","1",,"Sim","Sim","","Pintura de meios-fios","Capina","",,,,,,,
"220027","Alegrete do Piauí","PI","2009","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2015","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI; [22002740] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água; Res Sólidos","4","0","0","7","0","2","0","1","0","0","1","0","5","10","15","Sim","4","4","0","1","1",,"Sim","Sim","","Pintura de meios-fios","Capina","",,,,,,,
"220027","Alegrete do Piauí","PI","2004","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2011","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220027","Alegrete do Piauí","PI","2005","[22002711] Prefeitura Municipal de Alegrete do Piauí - PMAPI","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2000","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2005","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2002","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2003","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","1999","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2011","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","0","3","0","3","0","2","0","2","0","0","0","0","0","10","10","Não",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2013","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","0","3","0","3","0","2","0","2","0","0","0","0","0","10","10","Não",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2007","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","0","2","0","2","0","2","0","0","0","0","0","0","0","6","6","Não",,,,,,,"","","","","","","0","0","0","0","0","0","0"
"220045","Alvorada do Gurguéia","PI","2009","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","0","3","0","2","0","2","0","0","0","0","1","0","1","7","8","Sim","12","12","0","1","1","0","Sim","Sim","Não","Capina","Capina","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2014","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","0","3","0","3","0","2","0","2","0","0","0","0","0","10","10","Não",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2008","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","0","3","0","2","0","2",,,,,"1","0","1","7","8","Sim","10","10","0","1","1","0","Sim","Sim","Não","Capina","Capina","","0","0","0",,,"0","0"
"220045","Alvorada do Gurguéia","PI","2006","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água e Esgoto; Res Sólidos","0","3","0","2","0","2",,,,,"1","0","1","7","8","Sim","2",,,"2",,,"Sim","","","Varrição","","","0","0","0",,,"0","0"
"220045","Alvorada do Gurguéia","PI","2010","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","0","3","0","3","0","2","0","0","0","0","0","0","0","8","8","Não",,,,,,,"","","","","","","0","0","0","0","0","0",
"220045","Alvorada do Gurguéia","PI","2015","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","0","3","0","3","0","2","0","2","0","0","0","0","0","10","10","Não",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2012","[22004511] Prefeitura Municipal de Alvorada do Gurguéia - PMAG; [22004540] PREFEITURA MUNICIPAL DE ALVORADA DO GURGUEIA - PMAGPI","Água; Res Sólidos","0","3","0","3","0","2","0","2","0","0","0","0","0","10","10","Não",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2001","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","2004","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","1998","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220045","Alvorada do Gurguéia","PI","1997","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","1997","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","1998","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","1995","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22007040] Prefeitura Municipal de Anísio de Abreu - PMAA","Água; Res Sólidos","0","8","0","12","0","6","0","0","0","2","0","1","0","29","29","Não",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","1996","","",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
"220070","Anísio de Abreu","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água",,,,,,,,,,,,,,,,"",,,,,,,"","","","","","",,,,,,,
